date,team,opp,location,spread,total,moneylune,scpre,mov,ats margin,combined,ou margin
2025-03-02,N Florida,Austin Peay,Neutral,-3.5,158,-170,69-90,-21,-24.5,159,1
2/1/2025,Hampton,Howard,Neutral,-2,146.5,-143,80-79,1,-1,159,12.5
2/11/2025,Loyola Mymt,Pepperdine,Away,-2.5,144.5,-146,69-60,9,6.5,129,-15.5
2/8/2025,C Michigan,Texas St,Home,-2,141,-135,85-70,15,13,155,14
2/8/2025,Ohio,App State,Home,-4.5,141.5,-199,59-72,-13,-17.5,131,-10.5
2/8/2025,Bowling Green,Coastal Car,Home,-5,140,-218,67-53,14,9,120,-20
2/8/2025,Georgia St,Buffalo,Away,-3,160.5,-148,80-75,5,2,155,-5.5
2/8/2025,Ball St,Southern Miss,Home,-3,147.5,-158,77-76,1,-2,153,5.5
2/8/2025,Akron,S Alabama,Home,-7,147,-290,80-67,13,6,147,0
2/10/2025,Campbell,NC A&T,Home,-13,139.5,-1050,66-62,4,-9,128,-11.5
3/1/2025,NC Central,Howard,Home,-3,156.5,-163,72-68,4,1,140,-16.5
3/2/2025,Kansas St,Colorado,Home,-6.5,141.5,-298,65-56,9,2.5,121,-20.5
3/2/2025,Michigan,Illinois,Home,-3,162.5,-160,73-93,-20,-23,166,3.5
3/2/2025,Illinois Chicago,Valparaiso,Home,-6.5,153.5,-265,77-73,4,-2.5,150,-3.5
3/2/2025,Belmont,Murray St,Home,-2.5,151,-152,70-60,10,7.5,130,-21
3/2/2025,Marist,Saint Peter's,Home,-3.5,123,-171,52-57,-5,-8.5,109,-14
3/2/2025,Sacred Heart,Fairfield,Home,-6,149.5,-255,83-62,21,15,145,-4.5
3/2/2025,Michigan St,Wisconsin,Home,-4.5,146.5,-195,71-62,9,4.5,133,-13.5
3/2/2025,Iona,Canisius,Away,-5.5,142.5,-247,82-52,30,24.5,134,-8.5
3/2/2025,Liberty,Kennesaw St,Home,-8.5,140.5,-410,80-85,-5,-13.5,165,24.5
3/2/2025,Drake,Missouri St,Home,-14.5,121.5,-1400,68-60,8,-6.5,128,6.5
3/2/2025,Florida Atlantic,S Florida,Away,-2.5,154,-132,69-63,6,3.5,132,-22
3/2/2025,E Carolina,Charlotte,Home,-10,140.5,-550,78-76,2,-8,154,13.5
3/2/2025,UTSA,Rice,Home,-1.5,151,-125,84-56,28,26.5,140,-11
3/2/2025,Illinois St,Evansville,Home,-10.5,141.5,-670,62-53,9,-1.5,115,-26.5
3/2/2025,Indiana St,S Illinois,Home,-2.5,157.5,-152,95-77,18,15.5,172,14.5
3/2/2025,Bradley,N Iowa,Home,-4.5,141.5,-218,73-56,17,12.5,129,-12.5
3/1/2025,Hawai'i,UC Davis,Home,-3.5,132,-178,78-70,8,4.5,148,16
3/1/2025,Gonzaga,San Francisco,Neutral,-9.5,157.5,-500,95-75,20,10.5,170,12.5
3/1/2025,Saint Mary's,Oregon St,Home,-12,130.5,-815,74-64,10,-2,138,7.5
3/1/2025,Washington St,Pepperdine,Away,-4.5,160.5,-190,90-83,7,2.5,173,12.5
3/1/2025,UCSD,CS Fullerton,Home,-27,142.5,-8000,100-55,45,18,155,12.5
3/1/2025,California,Boston College,Home,-8.5,144.5,-410,82-71,11,2.5,153,8.5
3/1/2025,BYU,West Virginia,Home,-10,140,-568,77-56,21,11,133,-7
3/1/2025,New Mexico St,W Kentucky,Home,-4,142.5,-180,65-47,18,14,112,-30.5
3/1/2025,Cal Baptist,Utah Tech,Away,-1.5,144.5,-128,61-57,4,2.5,118,-26.5
3/1/2025,Iowa St,Arizona,Home,-6,152.5,-276,84-67,17,11,151,-1.5
3/1/2025,Florida,Texas A&M,Home,-8.5,149,-440,89-70,19,10.5,159,10
3/1/2025,Marquette,Georgetown,Away,-8.5,147.5,-425,76-61,15,6.5,137,-10.5
3/1/2025,Texas,Georgia,Home,-5.5,145.5,-240,67-83,-16,-21.5,150,4.5
3/1/2025,CS Northridge,UCSB,Home,-5,149,-215,103-77,26,21,180,31
3/1/2025,Baylor,Oklahoma St,Home,-12.5,151.5,-1000,71-61,10,-2.5,132,-19.5
