Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Ivan Barbashev,Golden,2024-10-09,Home,16:26,2,2,3,2,1,0,0,2,0/0
Brendan Brisson,Golden,2024-10-09,Home,10:48,0,0,0,0,0,0,0,0,0/0
Pavel Dorofeyev,Golden,2024-10-09,Home,13:22,0,0,-1,0,0,2,0,1,0/0
Jack Eichel,Golden,2024-10-09,Home,20:37,0,4,3,3,3,0,0,0,6/14
Tomas Hertl,Golden,2024-10-09,Home,20:13,0,1,-1,0,2,0,0,1,12/18
Alexander Holtz,Golden,2024-10-09,Home,14:00,0,0,0,1,0,0,0,0,0/0
Brett Howden,Golden,2024-10-09,Home,13:19,1,0,0,4,0,0,1,1,5/6
Keegan Kolesar,Golden,2024-10-09,Home,10:44,0,0,0,0,1,0,0,1,1/1
Victor Olofsson,Golden,2024-10-09,Home,13:03,2,0,0,3,0,0,1,0,0/0
Tanner Pearson,Golden,2024-10-09,Home,10:45,0,1,1,1,0,0,1,1,0/1
Nicolas Roy,Golden,2024-10-09,Home,13:25,0,0,0,0,0,2,1,0,5/10
Mark Stone,Golden,2024-10-09,Home,20:25,2,1,4,2,4,0,2,1,0/0
Nicolas Hague,Golden,2024-10-09,Home,18:59,0,0,1,1,2,0,0,1,0/0
Noah Hanifin,Golden,2024-10-09,Home,22:47,0,1,0,0,2,0,0,1,0/0
Brayden McNabb,Golden,2024-10-09,Home,19:01,0,1,3,0,1,2,1,2,0/0
Alex Pietrangelo,Golden,2024-10-09,Home,20:12,0,1,1,2,0,0,1,4,0/0
Shea Theodore,Golden,2024-10-09,Home,19:39,0,3,0,1,2,0,1,1,0/0
Zach Whitecloud,Golden,2024-10-09,Home,16:53,1,0,1,1,0,0,0,0,0/0
Ivan Barbashev,Golden,2024-10-11,Home,18:11,1,1,2,3,1,0,0,2,0/0
Pavel Dorofeyev,Golden,2024-10-11,Home,12:00,0,0,0,0,0,0,1,0,0/0
Jack Eichel,Golden,2024-10-11,Home,20:08,1,1,2,5,0,0,0,0,8/19
Tomas Hertl,Golden,2024-10-11,Home,17:13,0,0,0,1,2,0,1,1,8/16
Alexander Holtz,Golden,2024-10-11,Home,14:07,0,0,-1,1,2,0,0,1,0/0
Brett Howden,Golden,2024-10-11,Home,16:02,0,0,-1,0,2,0,0,0,1/5
Keegan Kolesar,Golden,2024-10-11,Home,11:32,0,0,1,2,1,0,0,0,0/1
Victor Olofsson,Golden,2024-10-11,Home,13:44,0,0,0,2,0,0,0,1,0/0
Tanner Pearson,Golden,2024-10-11,Home,11:04,0,0,1,1,0,0,0,0,0/0
Nicolas Roy,Golden,2024-10-11,Home,16:01,1,0,-1,2,0,0,0,3,5/8
Cole Schwindt,Golden,2024-10-11,Home,09:01,0,1,1,2,1,0,1,1,3/4
Mark Stone,Golden,2024-10-11,Home,20:02,0,2,2,2,1,0,1,4,0/0
Nicolas Hague,Golden,2024-10-11,Home,16:00,0,0,-1,1,1,0,0,0,0/0
Noah Hanifin,Golden,2024-10-11,Home,18:15,0,0,-1,1,1,2,0,0,0/0
Brayden McNabb,Golden,2024-10-11,Home,20:02,0,0,2,1,2,0,0,1,0/0
Alex Pietrangelo,Golden,2024-10-11,Home,22:29,0,1,1,0,0,0,0,2,0/0
Shea Theodore,Golden,2024-10-11,Home,21:25,1,1,1,3,1,2,0,0,0/0
Zach Whitecloud,Golden,2024-10-11,Home,19:16,0,0,2,1,2,0,0,2,0/0
Ivan Barbashev,Golden,2024-10-13,Home,15:30,0,0,-1,2,0,0,0,1,0/0
Pavel Dorofeyev,Golden,2024-10-13,Home,12:52,1,0,1,5,2,0,0,1,0/0
Jack Eichel,Golden,2024-10-13,Home,22:39,0,1,-1,1,0,0,1,1,8/14
Tomas Hertl,Golden,2024-10-13,Home,18:56,1,0,1,2,1,0,0,2,10/16
Alexander Holtz,Golden,2024-10-13,Home,13:37,0,0,0,1,0,0,0,0,0/0
Brett Howden,Golden,2024-10-13,Home,14:10,1,0,1,4,0,0,1,0,2/2
Keegan Kolesar,Golden,2024-10-13,Home,11:34,0,2,2,0,0,0,1,0,0/1
Victor Olofsson,Golden,2024-10-13,Home,17:01,0,0,0,3,1,0,0,0,0/0
Tanner Pearson,Golden,2024-10-13,Home,10:32,0,0,0,0,0,0,0,1,0/0
Nicolas Roy,Golden,2024-10-13,Home,15:52,0,0,1,0,0,0,1,1,1/5
Cole Schwindt,Golden,2024-10-13,Home,09:24,0,0,0,1,2,0,0,0,2/5
Mark Stone,Golden,2024-10-13,Home,20:15,0,1,-1,3,2,0,0,1,0/0
Nicolas Hague,Golden,2024-10-13,Home,16:46,0,0,0,0,1,0,0,0,0/0
Noah Hanifin,Golden,2024-10-13,Home,20:49,0,0,0,0,2,0,0,2,0/0
Brayden McNabb,Golden,2024-10-13,Home,15:31,0,0,1,2,3,2,0,2,0/0
Alex Pietrangelo,Golden,2024-10-13,Home,21:57,0,1,1,4,2,0,0,3,0/0
Shea Theodore,Golden,2024-10-13,Home,23:10,0,0,0,2,2,0,0,1,0/0
Zach Whitecloud,Golden,2024-10-13,Home,17:25,0,0,0,2,1,0,0,2,0/0
Ivan Barbashev,Golden,2024-10-15,Away,14:46,0,1,0,2,0,0,0,0,0/0
