Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Mathew Barzal,Islanders,2024-10-10,Home,22:46,0,1,1,1,1,0,0,3,0/0
Casey Cizikas,Islanders,2024-10-10,Home,11:09,0,0,-1,0,0,0,1,0,1/2
Anthony Duclair,Islanders,2024-10-10,Home,19:45,1,1,0,2,1,0,0,0,0/0
Simon Holmstrom,Islanders,2024-10-10,Home,12:13,0,1,1,1,1,0,0,1,0/0
Bo Horvat,Islanders,2024-10-10,Home,20:44,1,0,1,5,1,0,0,0,14/28
Anders Lee,Islanders,2024-10-10,Home,14:26,0,0,-1,3,1,0,0,0,0/1
Kyle MacLean,Islanders,2024-10-10,Home,12:01,0,0,-1,0,0,0,0,0,5/9
Brock Nelson,Islanders,2024-10-10,Home,18:28,0,1,1,2,0,0,0,0,4/15
Jean-Gabriel Pageau,Islanders,2024-10-10,Home,13:05,1,0,-1,1,0,0,0,1,8/13
Kyle Palmieri,Islanders,2024-10-10,Home,16:53,0,1,0,5,2,2,0,0,0/0
Maxim Tsyplakov,Islanders,2024-10-10,Home,20:46,1,0,1,3,0,0,0,1,1/1
Oliver Wahlstrom,Islanders,2024-10-10,Home,10:52,0,0,-1,0,2,0,1,1,0/0
Noah Dobson,Islanders,2024-10-10,Home,24:51,0,2,-1,0,3,0,0,0,0/0
Scott Mayfield,Islanders,2024-10-10,Home,13:32,0,0,1,0,1,0,0,0,0/0
Adam Pelech,Islanders,2024-10-10,Home,21:01,0,0,0,0,2,0,0,1,0/0
Ryan Pulock,Islanders,2024-10-10,Home,20:51,0,0,1,0,4,0,0,0,0/0
Mike Reilly,Islanders,2024-10-10,Home,13:53,0,0,1,0,0,0,0,0,0/0
Alexander Romanov,Islanders,2024-10-10,Home,17:58,0,0,-1,4,4,2,0,3,0/0
Mathew Barzal,Islanders,2024-10-12,Away,19:29,0,0,-1,1,1,0,0,0,1/2
Casey Cizikas,Islanders,2024-10-12,Away,09:58,0,0,0,0,2,0,0,3,1/1
Anthony Duclair,Islanders,2024-10-12,Away,16:04,0,0,-1,1,0,0,0,2,0/0
Simon Holmstrom,Islanders,2024-10-12,Away,13:30,0,0,0,1,1,0,0,0,0/0
Bo Horvat,Islanders,2024-10-12,Away,17:57,0,0,-1,4,1,0,0,3,3/13
Anders Lee,Islanders,2024-10-12,Away,15:39,0,0,-1,3,0,0,0,1,0/0
Kyle MacLean,Islanders,2024-10-12,Away,11:41,0,0,0,1,0,0,1,0,8/11
Brock Nelson,Islanders,2024-10-12,Away,18:33,0,0,-2,3,0,0,0,1,7/13
Jean-Gabriel Pageau,Islanders,2024-10-12,Away,14:28,0,0,-1,1,0,0,0,0,8/16
Kyle Palmieri,Islanders,2024-10-12,Away,16:20,0,0,-2,4,0,0,0,1,1/1
Maxim Tsyplakov,Islanders,2024-10-12,Away,17:33,0,0,-1,2,0,2,1,1,0/0
Oliver Wahlstrom,Islanders,2024-10-12,Away,09:21,0,0,0,1,0,2,1,0,0/0
Noah Dobson,Islanders,2024-10-12,Away,21:10,0,0,-2,0,4,0,1,0,0/0
