Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Noel Acciari,Penguins,2024-10-09,Home,13:49,0,0,-1,0,0,0,0,1,0/2
Anthony Beauvillier,Penguins,2024-10-09,Home,14:00,0,0,-1,7,1,0,0,1,0/0
Michael Bunting,Penguins,2024-10-09,Home,16:02,0,0,-2,5,0,0,1,2,0/0
Sidney Crosby,Penguins,2024-10-09,Home,20:59,0,0,-2,2,1,2,1,1,11/25
Lars Eller,Penguins,2024-10-09,Home,16:35,0,0,-1,4,0,0,1,2,6/9
Cody Glass,Penguins,2024-10-09,Home,10:48,0,0,-1,3,1,0,0,0,4/7
Kevin Hayes,Penguins,2024-10-09,Home,12:06,0,0,-1,1,1,0,0,0,4/6
Evgeni Malkin,Penguins,2024-10-09,Home,17:20,0,0,-3,1,1,0,0,0,3/9
Rutger McGroarty,Penguins,2024-10-09,Home,12:20,0,0,-1,1,0,0,0,0,0/1
Drew O'Connor,Penguins,2024-10-09,Home,15:18,0,0,-3,0,2,2,0,2,0/0
Jesse Puljujarvi,Penguins,2024-10-09,Home,12:46,0,0,-1,3,0,0,0,0,0/0
Rickard Rakell,Penguins,2024-10-09,Home,16:23,0,0,-1,1,1,0,0,1,0/0
Ryan Graves,Penguins,2024-10-09,Home,14:03,0,0,-2,1,1,0,0,2,0/0
Matt Grzelcyk,Penguins,2024-10-09,Home,20:44,0,0,-2,1,0,0,0,1,0/0
Erik Karlsson,Penguins,2024-10-09,Home,21:01,0,0,-2,0,1,0,0,1,0/0
Kris Letang,Penguins,2024-10-09,Home,24:27,0,0,-2,1,0,0,0,2,0/0
Marcus Pettersson,Penguins,2024-10-09,Home,20:36,0,0,-2,0,0,2,1,3,0/0
Jack St. Ivany,Penguins,2024-10-09,Home,14:43,0,0,-2,0,1,0,0,0,0/0
Noel Acciari,Penguins,2024-10-10,Away,12:19,0,0,1,1,1,2,1,0,4/4
Anthony Beauvillier,Penguins,2024-10-10,Away,14:52,2,0,3,2,0,0,0,0,0/0
Michael Bunting,Penguins,2024-10-10,Away,13:48,0,0,0,1,0,0,0,0,0/0
Sidney Crosby,Penguins,2024-10-10,Away,18:09,0,2,3,4,0,0,0,2,16/30
Lars Eller,Penguins,2024-10-10,Away,15:35,0,0,-1,0,1,2,0,0,6/12
Cody Glass,Penguins,2024-10-10,Away,12:34,0,1,0,1,0,2,0,1,2/3
Kevin Hayes,Penguins,2024-10-10,Away,12:03,1,0,0,3,0,0,0,0,3/6
Evgeni Malkin,Penguins,2024-10-10,Away,16:06,0,2,0,3,1,0,0,0,6/12
Rutger McGroarty,Penguins,2024-10-10,Away,10:12,0,0,0,1,0,0,0,0,0/0
Drew O'Connor,Penguins,2024-10-10,Away,16:49,1,0,0,3,1,0,0,0,0/2
Jesse Puljujarvi,Penguins,2024-10-10,Away,12:12,0,1,1,0,0,0,0,0,0/0
Rickard Rakell,Penguins,2024-10-10,Away,17:15,0,0,2,1,0,0,0,0,0/0
Ryan Graves,Penguins,2024-10-10,Away,14:26,0,0,1,1,3,0,0,2,0/0
Matt Grzelcyk,Penguins,2024-10-10,Away,19:31,0,0,1,0,2,0,1,1,0/0
Erik Karlsson,Penguins,2024-10-10,Away,20:07,1,1,2,2,2,0,0,1,0/0
Kris Letang,Penguins,2024-10-10,Away,21:02,0,1,1,1,0,4,0,1,0/0
Marcus Pettersson,Penguins,2024-10-10,Away,24:22,1,1,1,4,3,0,0,3,0/0
Jack St. Ivany,Penguins,2024-10-10,Away,19:06,0,0,0,0,2,0,2,2,0/0
Noel Acciari,Penguins,2024-10-12,Away,13:15,0,0,-1,0,1,0,0,1,1/3
Anthony Beauvillier,Penguins,2024-10-12,Away,13:38,0,0,-1,1,0,0,1,0,0/0
Michael Bunting,Penguins,2024-10-12,Away,14:06,0,0,0,2,1,0,0,0,0/0
Sidney Crosby,Penguins,2024-10-12,Away,21:00,0,1,-2,3,1,0,0,0,8/19
Lars Eller,Penguins,2024-10-12,Away,15:01,0,0,0,3,0,0,0,0,8/13
