Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Nicolas Aube-Kubel,Sabres,2024-10-04,Home,05:45,0,0,0,2,0,2,0,0,0/0
Zach Benson,Sabres,2024-10-04,Home,17:23,0,0,0,2,1,0,0,1,0/1
Dylan Cozens,Sabres,2024-10-04,Home,18:57,0,0,-1,7,0,0,1,1,11/16
Jordan Greenway,Sabres,2024-10-04,Home,13:49,0,0,-2,2,1,0,0,1,0/0
Sam Lafferty,Sabres,2024-10-04,Home,09:05,0,0,0,0,0,0,0,0,1/5
Beck Malenstyn,Sabres,2024-10-04,Home,06:55,0,0,0,1,1,0,0,0,0/0
Ryan McLeod,Sabres,2024-10-04,Home,13:50,0,0,-1,0,0,0,1,0,8/12
JJ Peterka,Sabres,2024-10-04,Home,19:22,0,1,-2,2,0,0,1,1,0/0
Jack Quinn,Sabres,2024-10-04,Home,18:41,0,0,-1,0,0,0,0,0,0/0
Tage Thompson,Sabres,2024-10-04,Home,21:29,0,0,-2,3,1,0,0,1,10/14
Alex Tuch,Sabres,2024-10-04,Home,22:31,0,0,-2,2,1,0,0,2,4/11
Jason Zucker,Sabres,2024-10-04,Home,12:19,0,0,0,2,1,0,0,0,0/0
Bowen Byram,Sabres,2024-10-04,Home,24:52,0,1,0,0,3,0,1,1,0/0
Connor Clifton,Sabres,2024-10-04,Home,13:39,0,0,-1,1,0,0,0,1,0/0
Rasmus Dahlin,Sabres,2024-10-04,Home,22:48,0,0,-1,2,1,2,1,1,0/0
Henri Jokiharju,Sabres,2024-10-04,Home,16:17,0,0,-1,0,2,0,0,0,0/0
Owen Power,Sabres,2024-10-04,Home,23:27,1,0,-1,3,2,0,0,0,0/0
Mattias Samuelsson,Sabres,2024-10-04,Home,15:46,0,0,-1,2,3,0,0,2,0/0
Dylan Cozens,Sabres,2024-10-05,Away,21:10,0,0,-2,1,1,0,0,0,6/15
Jordan Greenway,Sabres,2024-10-05,Away,19:45,0,1,1,4,1,0,0,0,0/0
Peyton Krebs,Sabres,2024-10-05,Away,14:11,0,0,0,1,0,0,0,1,1/3
Jiri Kulich,Sabres,2024-10-05,Away,14:00,0,0,-2,0,0,2,1,1,0/0
Sam Lafferty,Sabres,2024-10-05,Away,10:34,0,0,0,1,1,2,0,1,1/2
Beck Malenstyn,Sabres,2024-10-05,Away,09:33,0,0,0,0,0,0,0,0,0/0
Ryan McLeod,Sabres,2024-10-05,Away,17:12,0,0,0,0,0,0,0,2,5/15
JJ Peterka,Sabres,2024-10-05,Away,01:39,0,0,0,0,0,0,0,0,0/0
Jack Quinn,Sabres,2024-10-05,Away,15:48,0,0,-1,0,0,0,0,3,0/0
Tage Thompson,Sabres,2024-10-05,Away,19:06,1,0,1,3,3,2,1,0,5/15
Alex Tuch,Sabres,2024-10-05,Away,20:07,0,1,0,0,4,7,0,1,0/1
Jason Zucker,Sabres,2024-10-05,Away,14:13,0,0,0,0,0,0,0,1,0/0
Bowen Byram,Sabres,2024-10-05,Away,21:59,0,0,0,0,2,0,0,1,0/0
Connor Clifton,Sabres,2024-10-05,Away,13:26,0,0,0,1,0,0,0,1,0/0
Rasmus Dahlin,Sabres,2024-10-05,Away,24:56,0,0,-1,1,0,0,1,1,0/0
Henri Jokiharju,Sabres,2024-10-05,Away,18:04,0,0,-1,4,1,0,1,1,0/0
Owen Power,Sabres,2024-10-05,Away,24:42,0,0,1,2,0,0,0,1,0/0
Mattias Samuelsson,Sabres,2024-10-05,Away,15:29,0,0,-1,0,1,0,0,2,0/0
Zach Benson,Sabres,2024-10-10,Home,19:09,0,0,-1,1,0,0,1,1,0/0
Dylan Cozens,Sabres,2024-10-10,Home,16:43,0,0,-1,6,1,10,0,1,11/18
Jordan Greenway,Sabres,2024-10-10,Home,15:15,0,0,0,1,2,0,0,0,0/1
Peyton Krebs,Sabres,2024-10-10,Home,07:25,0,0,0,0,1,5,0,2,2/2
Jiri Kulich,Sabres,2024-10-10,Home,15:27,0,0,0,2,0,0,0,1,5/6
