Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Viktor Arvidsson,Sweden,2025-02-12,Home,10:08,0,0,0,1,0,0,0,1,0/0
Jesper Bratt,Sweden,2025-02-12,Home,17:01,0,1,0,0,0,0,0,0,0/0
Joel Eriksson Ek,Sweden,2025-02-12,Home,17:04,1,0,1,1,0,0,0,1,10/19
Filip Forsberg,Sweden,2025-02-12,Home,17:13,0,0,0,2,3,0,2,4,0/0
Adrian Kempe,Sweden,2025-02-12,Home,16:56,1,0,0,5,0,0,0,1,0/0
Elias Lindholm,Sweden,2025-02-12,Home,10:47,0,0,0,1,2,0,0,0,3/8
William Nylander,Sweden,2025-02-12,Home,20:30,0,0,-1,2,1,2,0,1,2/6
Gustav Nyquist,Sweden,2025-02-12,Home,10:02,0,0,0,0,0,0,0,0,0/0
Elias Pettersson,Sweden,2025-02-12,Home,16:32,0,0,0,1,0,0,1,0,2/12
Rickard Rakell,Sweden,2025-02-12,Home,19:31,0,0,0,3,0,0,0,1,0/0
Lucas Raymond,Sweden,2025-02-12,Home,17:52,0,2,2,3,0,0,0,2,0/1
Mika Zibanejad,Sweden,2025-02-12,Home,20:01,0,0,-1,2,0,0,1,0,12/22
Jonas Brodin,Sweden,2025-02-12,Home,17:13,1,0,0,1,1,0,0,3,0/0
Rasmus Dahlin,Sweden,2025-02-12,Home,17:15,0,0,-1,1,2,0,0,2,0/0
Mattias Ekholm,Sweden,2025-02-12,Home,19:30,0,1,1,0,2,0,0,0,0/0
Gustav Forsling,Sweden,2025-02-12,Home,24:58,0,0,-1,1,1,0,0,1,0/0
Victor Hedman,Sweden,2025-02-12,Home,27:15,0,1,1,1,3,0,0,1,0/0
Erik Karlsson,Sweden,2025-02-12,Home,18:18,0,1,1,1,0,0,0,0,0/0
Viktor Arvidsson,Sweden,2025-02-15,Home,09:27,0,0,-1,1,0,0,0,0,0/0
Jesper Bratt,Sweden,2025-02-15,Home,18:04,0,0,0,1,0,0,0,0,0/0
Joel Eriksson Ek,Sweden,2025-02-15,Home,19:27,0,1,1,1,1,0,0,0,5/19
Filip Forsberg,Sweden,2025-02-15,Home,14:57,0,0,0,3,2,0,0,1,0/0
Adrian Kempe,Sweden,2025-02-15,Home,15:57,0,0,-1,3,0,0,0,0,1/2
Elias Lindholm,Sweden,2025-02-15,Home,10:39,0,0,-1,0,0,0,0,0,4/11
William Nylander,Sweden,2025-02-15,Home,21:35,0,1,1,0,0,0,0,1,0/2
Gustav Nyquist,Sweden,2025-02-15,Home,08:48,0,0,-1,0,0,0,0,1,0/0
Elias Pettersson,Sweden,2025-02-15,Home,14:10,0,0,0,1,2,0,0,0,4/9
Rickard Rakell,Sweden,2025-02-15,Home,13:28,0,0,1,0,0,2,0,0,0/0
Lucas Raymond,Sweden,2025-02-15,Home,18:30,0,1,1,2,0,0,0,1,0/0
Mika Zibanejad,Sweden,2025-02-15,Home,21:00,1,0,1,6,1,0,0,1,10/12
Jonas Brodin,Sweden,2025-02-15,Home,18:09,0,0,-1,0,0,0,0,1,0/0
Rasmus Dahlin,Sweden,2025-02-15,Home,18:42,1,0,1,1,6,0,0,1,0/0
Mattias Ekholm,Sweden,2025-02-15,Home,16:03,0,0,-1,0,0,0,0,3,0/0
Gustav Forsling,Sweden,2025-02-15,Home,20:59,0,0,1,1,1,0,1,1,0/0
Victor Hedman,Sweden,2025-02-15,Home,24:52,0,0,1,1,0,2,1,2,0/0
Erik Karlsson,Sweden,2025-02-15,Home,18:53,1,0,0,3,1,0,0,0,0/0
Viktor Arvidsson,Sweden,2025-02-17,Away,12:33,0,1,1,3,0,0,0,0,0/0
Jesper Bratt,Sweden,2025-02-17,Away,17:16,1,0,1,2,0,0,0,1,0/0
Leo Carlsson,Sweden,2025-02-17,Away,14:37,0,0,0,1,1,0,0,0,3/9
Joel Eriksson Ek,Sweden,2025-02-17,Away,22:40,0,0,2,2,1,0,0,0,7/18
Filip Forsberg,Sweden,2025-02-17,Away,12:52,0,0,0,3,1,2,0,2,0/0
Adrian Kempe,Sweden,2025-02-17,Away,21:13,0,0,-1,2,1,0,0,2,0/1
Elias Lindholm,Sweden,2025-02-17,Away,17:34,0,0,-1,1,0,2,0,0,8/13
William Nylander,Sweden,2025-02-17,Away,18:30,0,1,1,1,1,0,0,1,1/1
Gustav Nyquist,Sweden,2025-02-17,Away,10:15,1,0,1,2,1,0,0,0,0/0
Elias Pettersson,Sweden,2025-02-17,Away,09:54,0,0,0,0,0,0,0,0,0/2
Lucas Raymond,Sweden,2025-02-17,Away,18:37,0,0,-1,0,0,0,0,0,0/0
Rasmus Andersson,Sweden,2025-02-17,Away,13:17,0,0,0,1,5,0,0,1,0/0
Jonas Brodin,Sweden,2025-02-17,Away,15:57,0,0,0,0,0,0,0,2,0/0
Rasmus Dahlin,Sweden,2025-02-17,Away,17:20,0,0,0,1,0,0,0,0,0/0
Mattias Ekholm,Sweden,2025-02-17,Away,09:42,0,0,0,0,0,0,0,1,0/0
Gustav Forsling,Sweden,2025-02-17,Away,20:39,0,0,0,1,0,0,0,0,0/0
Victor Hedman,Sweden,2025-02-17,Away,23:49,0,0,1,2,3,0,0,2,0/0
Erik Karlsson,Sweden,2025-02-17,Away,17:15,0,1,1,1,2,2,0,0,0/0
