Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Matt Boldy,United,2025-02-13,Away,12:43,1,1,2,2,0,0,0,0,1/1
Kyle Connor,United,2025-02-13,Away,14:23,0,1,0,0,1,0,0,2,1/1
Jack Eichel,United,2025-02-13,Away,19:30,0,2,0,1,2,0,0,1,12/22
Jake Guentzel,United,2025-02-13,Away,18:30,1,1,1,4,1,0,2,1,0/0
Jack Hughes,United,2025-02-13,Away,16:08,0,1,1,3,0,0,0,1,0/0
Dylan Larkin,United,2025-02-13,Away,11:14,0,0,0,0,0,0,0,0,0/0
Auston Matthews,United,2025-02-13,Away,19:52,0,1,1,2,1,0,1,0,10/17
J.T. Miller,United,2025-02-13,Away,12:50,0,0,2,0,0,0,0,0,6/10
Brock Nelson,United,2025-02-13,Away,09:42,0,0,0,1,0,0,0,0,0/1
Brady Tkachuk,United,2025-02-13,Away,13:39,2,0,2,5,0,0,0,1,1/2
Matthew Tkachuk,United,2025-02-13,Away,17:47,2,1,0,8,0,0,0,1,0/0
Vincent Trocheck,United,2025-02-13,Away,13:33,0,0,0,0,2,0,0,0,7/11
Brock Faber,United,2025-02-13,Away,18:53,0,1,1,1,1,0,0,2,0/0
Adam Fox,United,2025-02-13,Away,18:41,0,0,0,1,0,2,0,2,0/0
Noah Hanifin,United,2025-02-13,Away,14:10,0,0,-1,2,2,2,0,0,0/0
Charlie McAvoy,United,2025-02-13,Away,19:45,0,0,2,1,0,0,1,3,0/0
Jaccob Slavin,United,2025-02-13,Away,20:55,0,0,2,0,2,0,1,1,0/0
Zach Werenski,United,2025-02-13,Away,21:45,0,3,2,1,1,2,1,0,0/0
Matt Boldy,United,2025-02-15,Away,11:54,0,1,1,2,0,0,0,1,0/0
Kyle Connor,United,2025-02-15,Away,08:32,0,0,0,0,0,0,0,0,0/0
Jack Eichel,United,2025-02-15,Away,19:49,0,1,2,0,1,0,0,0,7/12
Jake Guentzel,United,2025-02-15,Away,20:35,2,0,1,5,2,2,1,4,0/0
Jack Hughes,United,2025-02-15,Away,17:50,0,0,0,2,0,0,0,2,0/0
Dylan Larkin,United,2025-02-15,Away,16:17,1,1,2,1,0,0,0,1,2/7
Auston Matthews,United,2025-02-15,Away,20:39,0,0,-1,0,1,0,0,1,12/18
J.T. Miller,United,2025-02-15,Away,14:26,0,0,1,0,2,7,0,0,2/8
Brock Nelson,United,2025-02-15,Away,13:29,0,0,0,0,0,0,0,0,0/1
Brady Tkachuk,United,2025-02-15,Away,12:52,0,0,0,3,0,5,0,1,3/4
Matthew Tkachuk,United,2025-02-15,Away,11:10,0,0,0,3,0,5,0,0,0/0
Vincent Trocheck,United,2025-02-15,Away,10:21,0,0,0,1,1,0,0,1,4/8
Brock Faber,United,2025-02-15,Away,25:19,0,1,3,0,3,0,0,1,0/0
Adam Fox,United,2025-02-15,Away,13:44,0,0,0,0,1,0,1,2,0/0
Noah Hanifin,United,2025-02-15,Away,20:13,0,0,0,1,2,0,0,1,0/0
Charlie McAvoy,United,2025-02-15,Away,19:27,0,0,-1,1,0,0,0,2,0/0
Jaccob Slavin,United,2025-02-15,Away,25:36,0,0,3,2,3,0,1,2,0/0
Zach Werenski,United,2025-02-15,Away,13:47,0,1,-1,2,2,0,0,0,0/0
Matt Boldy,United,2025-02-17,Home,17:28,0,0,-1,3,0,2,0,1,0/0
Kyle Connor,United,2025-02-17,Home,14:27,0,0,-1,1,0,0,0,0,0/0
Jack Eichel,United,2025-02-17,Home,22:11,0,1,0,2,2,0,1,5,9/16
Jake Guentzel,United,2025-02-17,Home,23:36,0,0,0,1,0,0,0,3,0/0
Jack Hughes,United,2025-02-17,Home,21:21,0,0,1,5,2,0,0,0,0/0
Chris Kreider,United,2025-02-17,Home,17:01,1,0,1,3,0,0,0,1,0/0
Dylan Larkin,United,2025-02-17,Home,16:27,0,0,0,2,0,0,0,2,3/7
J.T. Miller,United,2025-02-17,Home,19:57,0,0,-1,2,0,0,0,2,10/13
Brock Nelson,United,2025-02-17,Home,17:55,0,0,-1,2,0,0,0,1,0/1
Brady Tkachuk,United,2025-02-17,Home,01:55,0,0,0,3,0,0,0,0,0/0
Vincent Trocheck,United,2025-02-17,Home,10:48,0,0,-1,0,1,0,0,2,3/7
Brock Faber,United,2025-02-17,Home,20:19,0,0,-1,0,1,0,0,5,0/0
Adam Fox,United,2025-02-17,Home,17:54,0,0,0,0,0,2,0,0,0/0
Noah Hanifin,United,2025-02-17,Home,15:09,0,0,0,0,2,2,0,0,0/0
Jake Sanderson,United,2025-02-17,Home,17:08,0,0,0,2,1,0,0,1,0/0
Jaccob Slavin,United,2025-02-17,Home,18:01,0,0,-2,1,1,0,0,1,0/0
Zach Werenski,United,2025-02-17,Home,24:08,0,1,1,6,1,0,0,1,0/0
Matt Boldy,United,2025-02-20,Home,22:42,0,0,0,2,2,0,0,1,0/0
Jack Eichel,United,2025-02-20,Home,21:38,0,0,-1,2,5,0,0,1,10/23
